OBJECTID;Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Prevista;Data Entrada;Data Entrada,x,y
45;ARPLI ;SUB PASO DE LOS  LIBRES                            AR       ;TNA;Transporte Energia Electrica Distribucion Troncal Noreste      ;;;01/06/2000;02/06/2000,-57.079166703,-29.651666702
46;BAABD ;SUB ABIL II                                        BA       ;986;Renova Energia SA                                              ;30/03/2022;31/03/2022;26/10/2022;27/10/2022,-42.575483002,-14.353822000999969
47;BAABL ;SUB ABIL-I                                         BA       ;BIL;CENTRAIS EOLICAS ABIL S.A.                                     ;29/12/2016;30/12/2016;09/02/2022;10/02/2022,-42.575842000999955,-14.353933006999966
48;BAABX ;SUB ABAIXADORA                                     BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.194200002,-9.395278007000002
49;BAALC1;SUB ALCAÇUZ                                        BA       ;LCZ;CENTRAIS EÓLICAS ALCAÇUZ S.A.                                  ;30/06/2016;01/07/2016;;,-42.69359400099995,-13.816453002999992
50;BAALG ;SUB ALAGOINHAS II                                  BA       ;BIS;BRE 2 IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE;20/03/2023;21/03/2023;21/04/2023;22/04/2023,-38.400113902999976,-12.048938900999985
51;BAALV ;SUB ALVORADA                                       BA       ;ALV;Centrais Eólicas Alvorada SA                                   ;29/04/2014;30/04/2014;03/07/2014;04/07/2014,-42.636807001999955,-14.208409003999975
52;BAARA ;SUB ARACAS                                         BA       ;ASD;Centrais Eólicas dos Araças SA                                 ;30/10/2014;31/10/2014;10/10/2014;11/10/2014,-42.609369001999994,-14.102794007
53;BAASU ;SUB ASSURUA                                        BA       ;CP3;PARQUE EÓLICO CAPOEIRAS III S.A.                               ;30/12/2017;31/12/2017;12/04/2018;13/04/2018,-42.70830000199999,-11.195600002999981
54;BABAB ;SUB BABILONIA                                      BA       ;BA3;CENTRAL EOLICA BABILONIA III S.A.                              ;30/08/2018;31/08/2018;13/11/2018;14/11/2018,-41.22799999999995,-10.970000006999953
55;BABDD ;SUB BRUMADO II                                     BA       ;AFT;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ;29/06/2002;30/06/2002;11/11/2002;12/11/2002,-41.63611110299996,-14.213611103999995
56;BABJD ;SUB BOM JESUS DA LAPA II                           BA       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;29/04/2003;30/04/2003;03/03/2003;04/03/2003,-43.34292358899995,-13.31012588599998
57;BABJS ;SUB BOM JESUS DA LAPA                              BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-43.34611110399999,-13.308900006999977
58;BABMC ;SUB BROTAS DE MACAUBAS                             BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/06/2012;30/06/2012;16/06/2012;17/06/2012,-42.342846006,-12.30940899999996
59;BABOT ;SUB BOTUQUARA                                      BA       ;BTQ;Centrais Elétricas Botuquara Ltda.                             ;31/12/2016;01/01/2017;;,-42.89278100399997,-13.55551100599996
60;BABRA ;SUB BARREIRAS                                      BA       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-44.94555560499998,-12.131944402999977
61;BABRD ;SUB BARREIRAS II                                   BA       ;PTR;PARANAÍBA TRANSMISSORA DE ENERGIA S.A.                         ;11/03/2017;12/03/2017;27/05/2017;28/05/2017,-44.81371400499995,-12.171311005999996
62;BABRT ;SUB BURITIRAMA                                     BA       ;EQ2;Equatorial Transmissora 2 SPE SA                               ;16/01/2020;17/01/2020;21/01/2020;22/01/2020,-44.04746700099997,-10.602586000999963
63;BABSD ;SUB BOM JESUS II                                   PI       ;PDT;SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ;06/08/2017;07/08/2017;20/02/2018;21/02/2018,-44.31686700099999,-9.100731000999986
64;BABW1 ;SUB BW GUIRAPA I                                   BA       ;ANG;Central Eólica Angical                                         ;29/11/2015;30/11/2015;04/02/2016;05/02/2016,-42.608611002999965,-14.348889000999975
