OBJECTID;Id da Instalação;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Prevista;Data Entrada;Data Entrada,x,y
345;MTCX  ;SUB COXIPO                                         MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-55.99722219999995,-15.627500005999991
346;MTJBA ;SUB JUBA                                           MT       ;JUR;BRASNORTE TRANSMISSORA DE ENERGIA S.A.                         ;30/10/2009;31/10/2009;23/09/2009;24/09/2009,-57.87933300399999,-14.787222005999979
347;MTJC  ;SUB JACIARA                                        MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;30/12/1990;31/12/1990,-54.95977110399997,-15.975790999999958
348;MTJU  ;SUB JAURU                                          MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;30/10/2002;31/10/2002;01/06/2003;02/06/2003,-58.83111100599996,-15.38166700399995
349;MTJUI ;SUB JUINA                                          MT       ;EBT;EBTE - EMPRESA BRASILEIRA DE TRANSMISSÃO DE ENERGIA S.A.       ;29/06/2011;30/06/2011;12/06/2011;13/06/2011,-58.742983005999974,-11.294406004999985
350;MTMGG ;SUB BRASNORTE                                      MT       ;JUR;BRASNORTE TRANSMISSORA DE ENERGIA S.A.                         ;29/11/2009;30/11/2009;17/11/2009;18/11/2009,-58.073056004999955,-12.828611002000002
351;MTNB  ;SUB NOBRES                                         MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;28/04/2001;29/04/2001,-56.296943999999996,-14.72416700499997
352;MTNM  ;SUB NOVA MUTUM                                     MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-56.08055560299999,-13.824722200999986
353;MTPIS ;SUB PARECIS                                        MT       ;EBT;EBTE - EMPRESA BRASILEIRA DE TRANSMISSÃO DE ENERGIA S.A.       ;29/04/2011;30/04/2011;07/04/2011;08/04/2011,-58.97427900099996,-13.073291003999998
354;MTPRG ;SUB PARANATINGA                                    MT       ;TPN;MATRINCHA TRANSMISSORA DE ENERGIA S A                          ;14/05/2016;15/05/2016;28/07/2016;29/07/2016,-54.427122003999955,-14.159794003000002
355;MTPRT ;SUB PARANAITA                                      MT       ;TPN;MATRINCHA TRANSMISSORA DE ENERGIA S A                          ;29/11/2015;30/11/2015;07/10/2015;08/10/2015,-56.83886700099998,-9.347166999999956
356;MTRB  ;SUB RIBEIRAOZINHO                                  MT       ;ITB;Itumbiara Transmissora de Energia S/A.                         ;29/11/2006;30/11/2006;29/11/2006;30/11/2006,-52.638336003000006,-16.474194005999948
357;MTRP  ;SUB RONDONOPOLIS                                   MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-54.59833330699996,-16.475000002
358;MTSLRV;SUB LUCAS DO RIO VERDE                             MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;30/09/2012;01/10/2012;01/11/2012;02/11/2012,-55.92994600499998,-13.01056700199996
359;MTSP  ;SUB SINOP                                          MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-55.51944440599999,-11.863333299999965
360;MTSS  ;SUB SORRISO                                        MT       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-55.72333330699996,-12.543333306999955
361;MTST  ;SUB SAO TADEU                                      MT       ;CMT;ENERGISA MATO GROSSO DISTRIBUIDORA DE ENERGIA S A              ;03/10/2009;04/10/2009;17/10/2009;18/10/2009,-55.52958900499999,-15.739450000999966
362;MTVG-1;SUB VARZEA GRANDE 2                                MT       ;TVG;EMPRESA DE TRANSMISSÃO DE VÁRZEA GRANDE S.A. - ETVG            ;22/12/2012;23/12/2012;08/12/2012;09/12/2012,-56.18459500399996,-15.729884006999953
363;PAAT  ;SUB ALTAMIRA                                       PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-52.179469004,-3.1358780039999488
364;PACHM ;SUB CACHIMBO                                       PA       ;TNG;TANGARÁ TRANSMISSÃO DE ENERGIA S.A.                            ;19/03/2025;20/03/2025;;,-54.87800000599998,-9.036000005999995
365;PACJ  ;SUB CARAJAS-ELETRONORTE                            PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;29/06/2007;30/06/2007;19/04/2006;20/04/2006,-49.88828330499996,-5.980513900999995
366;PACTH ;SUB CASTANHAL                                      PA       ;CEF;CASTANHAL TRANSMISSORA DE ENERGIA LTDA                         ;29/06/2012;30/06/2012;23/06/2012;24/06/2012,-47.796639002999996,-1.2918330059999903
367;PAGM  ;SUB GUAMA                                          PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-48.44472200399997,-1.45936100199998
368;PAIG  ;SUB INTEGRADORA                                    PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;05/04/2008;06/04/2008,-50.02113900299997,-6.4381470009999475
369;PAIT  ;SUB ITACAIUNAS                                     PA       ;AT3;ATE III TRANSMISSORA DE ENERGIA S.A.                           ;26/04/2008;27/04/2008;05/04/2008;06/04/2008,-49.07050000099997,-5.530799999999999
370;PAJRP ;SUB JURUPARI                                       PA       ;XNG;LINHAS DE XINGU TRANSMISSORA DE ENERGIA SA                     ;09/06/2013;10/06/2013;11/06/2013;12/06/2013,-52.77145600299997,-1.5449210029999563
371;PAJUR ;SUB JURUTI                                         PA       ;TIN;PARINTINS AMAZONAS TRANSMISSORA DE ENERGIA S.A.                ;29/12/2023;30/12/2023;12/05/2023;13/05/2023,-56.07133600099996,-2.2388170059999766
372;PAMAR ;SUB MARITUBA                                       PA       ;EQ7;Equatorial Transmissora 7 SPE SA                               ;08/02/2022;09/02/2022;15/08/2020;16/08/2020,-48.32959700399999,-1.4034750019999933
373;PAMB  ;SUB MARABA                                         PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-49.02800000499997,-5.198000006999962
374;PAMD  ;SUB MIRAMAR                                        PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;30/01/2016;31/01/2016,-48.48825599999998,-1.4122720059999665
375;PANPS ;SUB NOVO PROGRESSO                                 PA       ;TNG;TANGARÁ TRANSMISSÃO DE ENERGIA S.A.                            ;19/03/2025;20/03/2025;;,-55.389000006,-7.029000006999979
376;PAON  ;SUB ONCA PUMA                                      PA       ;OLD;OURILANDIA DO NORTE TRANSMISSORA DE ENERGIA S.A.               ;26/06/2019;27/06/2019;07/05/2018;08/05/2018,-51.09139200299995,-6.578058005000003
377;PAORX ;SUB ORIXIMINA                                      PA       ;MCP;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA SA                    ;09/06/2013;10/06/2013;11/06/2013;12/06/2013,-55.734760000999984,-1.583562001999951
378;PAPM  ;SUB PIMENTAL                                       PA       ;NOT;NORTE ENERGIA S/A                                              ;29/01/2016;30/01/2016;02/04/2016;03/04/2016,-51.947911001999955,-3.441210999999953
379;PARU  ;SUB RUROPOLIS                                      PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-54.89688900099998,-4.073333002999959
380;PASN  ;SUB SERRA NORTE                                    PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;29/06/2012;30/06/2012;02/04/2012;03/04/2012,-50.14222799999999,-6.025989003999996
381;PASNA ;SUB SE SANTANA DO ARAGUAIA                         PA       ;EPI;ENERGISA PARÁ TRANSMISSORA DE ENERGIA I S.A.                   ;10/02/2022;11/02/2022;12/11/2020;13/11/2020,-50.37516900199995,-9.327575005999961
382;PASPL ;SUB SERRA PELADA                                   PA       ;293;NOVO ESTADO TRANSMISSORA DE ENERGIA S.A.                       ;20/03/2023;21/03/2023;18/12/2021;19/12/2021,-49.69326110199995,-6.059180602999959
383;PASR  ;SUB SANTA MARIA                                    PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-47.56933300199995,-1.3415000069999792
384;PATA2 ;SUB TAPAJOS                                        PA       ;EQ8;Equatorial Transmissora 8 SPE SA                               ;27/02/2020;28/02/2020;11/01/2020;12/01/2020,-54.69914400599998,-2.609071999999969
385;PATC  ;SUB TUCURUI                                        PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-49.656802005999964,-3.824105999999972
386;PATE  ;SUB TOME-ACU                                       PA       ;TTP;ETEPA - EMPRESA TRANSMISSORA DE ENERGIA DO PARA S.A.           ;10/08/2021;11/08/2021;03/04/2023;04/04/2023,-48.143297002,-2.416319004999991
387;PATM  ;SUB TRANSAMAZONICA                                 PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-53.71427800499998,-3.7062225039999817
388;PAUG  ;SUB UTINGA                                         PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-48.380389004999984,-1.3362500069999896
389;PAVC  ;SUB VILA DO CONDE                                  PA       ;ENT;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;;;01/06/2000;02/06/2000,-48.72855700599996,-1.5724439029999644
390;PAXG  ;SUB XINGUARA 2                                     PA       ;ATL;ATLANTICO CONCESSIONARIA DE TRANSMISSAO DE ENERGIA DO BRASIL S ;29/09/2013;30/09/2013;06/09/2013;07/09/2013,-49.928269005999994,-7.083757005999985
391;PAXIN ;SUB XINGU                                          PA       ;XNG;LINHAS DE XINGU TRANSMISSORA DE ENERGIA SA                     ;09/06/2013;10/06/2013;11/06/2013;12/06/2013,-51.693167001000006,-3.107952005999948
392;PBCGD ;SUB CAMPINA GRANDE II                              PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;05/02/2000;06/02/2000,-35.90805560399997,-7.266638904999979
393;PBCGT ;SUB CAMPINA GRANDE III                             PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;28/03/2015;29/03/2015;27/03/2015;28/03/2015,-35.977722003999986,-7.255319006999969
394;PBCMA ;SUB COREMAS                                        PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-37.958611100999974,-7.018027804999974
395;PBCTM ;SUB COTEMINAS                                      PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/11/2009;30/11/2009;17/12/2009;18/12/2009,-35.89502800299999,-7.27633300399998
396;PBEPA ;SUB EPASA                                          PB       ;EPB;CENTRAIS ELÉTRICAS DA PARAÍBA S.A                              ;30/01/2011;31/01/2011;21/12/2010;22/12/2010,-34.92750000199999,-7.208611003999977
397;PBJPII;SUB JOAO PESSOA II                                 PB       ;BTE;BORBOREMA TRANSMISSÃO DE ENERGIA S.A.                          ;06/05/2022;07/05/2022;17/06/2022;18/06/2022,-34.92690280099998,-7.216138906999959
398;PBMRD ;SUB MUSSURE II                                     PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-34.893611102999955,-7.1796944069999995
399;PBNFL ;SUB NORFIL                                         PB       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;27/02/2014;28/02/2014;06/05/2014;07/05/2014,-34.901111007,-7.195278003999988
400;PBPLD ;SUB PILOES II                                      PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;13/01/2012;14/01/2012;13/11/2012;14/11/2012,-35.60699990399996,-6.869667105999952
401;PBRAL ;SUB RIO ALTO                                       PB       ;CR1;COREMAS I GERAÇÃO DE ENERGIA SPE SA                            ;30/05/2018;31/05/2018;15/10/2018;16/10/2018,-37.98920000299995,-6.966099999999983
402;PBSRD ;SUB SANTA RITA II                                  PB       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/06/2012;30/06/2012;07/07/2012;08/07/2012,-34.97983540599995,-7.099025100999995
403;PEADE ;SUB ALDEIA                                         PE       ;TM1;CENTRAIS ELÉTRICAS DE PERNAMBUCO S.A.                          ;29/06/2009;30/06/2009;06/06/2009;07/06/2009,-35.01797570299999,-7.860135302000003
404;PEAGD ;SUB ANGELIM II                                     PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-36.26916670099996,-8.838994003999971
405;PEAGL ;SUB ANGELIM                                        PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;05/02/2000;06/02/2000,-36.26916670099996,-8.838944405999996
406;PEARD ;SUB ARCOVERDE II                                   PE       ;AVT;ARCOVERDE TRANSMISSAO DE ENERGIA S.A.                          ;19/04/2019;20/04/2019;16/04/2019;17/04/2019,-37.033784999999966,-8.487599000999978
407;PEBGI ;SUB BONGI                                          PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-34.92833330499997,-8.063305601999957
408;PEBNO ;SUB BOM NOME                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-38.62055560199997,-7.996361106999984
409;PECE2 ;SUB CAETES II                                      PE       ;AVT;ARCOVERDE TRANSMISSAO DE ENERGIA S.A.                          ;29/12/2015;30/12/2015;24/12/2015;25/12/2015,-36.76005000599997,-8.843285999999978
410;PECLE ;SUB SAO CLEMENTE                                   PE       ;WWW;VENTOS DE SAO CLEMENTE I ENERGIAS RENOVAVEIS S.A               ;30/07/2016;31/07/2016;24/05/2016;25/05/2016,-36.73615000399997,-8.759400002999996
411;PEFIAT;SUB MATA NORTE                                     PE       ;ITM;ITAMARACÁ TRANSMISSORA SPE S.A.                                ;30/07/2021;31/07/2021;10/10/2022;11/10/2022,-34.960200004,-7.627422004999971
412;PEFLD ;SUB FLORESTA II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/10/2014;31/10/2014;07/10/2014;08/10/2014,-38.342258708999964,-8.748955575999958
413;PEGNN ;SUB GOIANINHA                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-35.08833330099998,-7.587472200999969
414;PEGRD ;SUB GARANHUNS II                                   PE       ;IEG;INTERLIGAÇÃO ELÉTRICA GARANHUNS S.A.                           ;14/09/2015;15/09/2015;03/09/2015;04/09/2015,-36.40436100199997,-8.880722000999981
415;PEJBD ;SUB JABOATAO II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/07/2018;30/07/2018;28/04/2018;29/04/2018,-34.98534200299997,-8.179352000999984
416;PELAGC;SUB LAGOA DO CARRO                                 PE       ;FGH;BRE IMPLANTAÇÃO DE SISTEMAS DE TRANSMISSÃO ELÉTRICA SOCIEDADE D;08/09/2021;09/09/2021;27/09/2020;28/09/2020,-35.360277801999985,-7.865794405999964
417;PEMID ;SUB MIRUEIRA II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;09/04/2016;10/04/2016;11/04/2016;12/04/2016,-34.891439005999985,-7.956725001999985
418;PEMRR ;SUB MIRUEIRA                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-34.91138890399998,-7.956638902999998
419;PEPAR ;SUB PARANATAMA                                     PE       ;SV1;EOLICA SERRA DAS VACAS I S.A.                                  ;29/04/2016;30/04/2016;17/12/2015;18/12/2015,-36.73316699999998,-8.908411003999959
420;PEPFE ;SUB PAU FERRO                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;27/02/2002;28/02/2002;30/12/1990;31/12/1990,-35.020617001000005,-7.85929699999997
421;PEPRD ;SUB PIRAPAMA II                                    PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;05/02/2000;06/02/2000,-35.023333304000005,-8.269972204999988
422;PERCD ;SUB RECIFE II                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-35.03916670399997,-8.113583303999974
423;PERIB ;SUB RIBEIRAO                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-35.38944440299997,-8.461361103000002
424;PESUD ;SUB SUAPE II                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;15/12/2012;16/12/2012;07/12/2012;08/12/2012,-35.050556003999986,-8.393611006999947
425;PESUT ;SUB SUAPE III                                      PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/07/2012;30/07/2012;02/07/2012;03/07/2012,-35.006944000999965,-8.399167001999956
426;PETAC ;SUB TACAIMBO                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-36.225555606,-8.330277800999966
427;PETAT ;SUB TACARATU                                       PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/12/2014;30/12/2014;14/12/2014;15/12/2014,-38.13164700599998,-9.059307999999987
428;PEVZD ;SUB JOAIRAM                                        PE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/07/2006;30/07/2006;09/07/2006;10/07/2006,-34.98122120599999,-8.08021860599996
429;PIAR3 ;SUB ARARIPE III                                    PI       ;VS1;VENTOS DE SANTO AUGUSTO I ENERGIA RENOVÁVEIS S.A.              ;30/12/2016;31/12/2016;08/12/2016;09/12/2016,-40.67665800499998,-7.770803004999948
430;PIBEA ;SUB BOA  ESPERANCA                                 PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-43.58000000599998,-6.731390006999959
431;PICDU ;SUB CALDEIRAO I                                    PI       ;;;30/01/2016;31/01/2016;;,-40.551997005999965,-7.325342006999961
432;PICH1 ;SUB COLETORA CHAPADA I                             PI       ;JII;VENTOS DE SANTA JOANA II ENERGIAS RENOVAVEIS S.A.              ;30/10/2015;31/10/2015;17/12/2015;18/12/2015,-40.71569400299995,-7.5619029999999725
433;PICNP ;SUB CURRAL NOVO DO PIAUI II                        PI       ;IRC;IRACEMA TRANSMISSORA DE ENRGIA S.A                             ;29/11/2015;30/11/2015;12/08/2015;13/08/2015,-40.638669006999976,-8.033014006999963
434;PICP2 ;SUB COLETORA CHAPADA II                            PI       ;CGB;CHAPADA BRANCA HOLDING S.A                                     ;30/08/2015;31/08/2015;15/06/2015;16/06/2015,-40.758264005,-7.476417004999973
435;PICP3 ;SUB COLETORA CHAPADA III                           PI       ;CGB;CHAPADA BRANCA HOLDING S.A                                     ;29/12/2015;30/12/2015;15/01/2016;16/01/2016,-40.683167002999994,-7.391064002999997
436;PIELM ;SUB ELISEU MARTINS                                 PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;05/01/2006;06/01/2006;07/01/2006;08/01/2006,-43.662500000999955,-8.096667006999951
437;PIGBD ;SUB GILBUES II                                     PI       ;PDT;SAO PEDRO TRANSMISSORA DE ENERGIA S/A                          ;06/08/2017;07/08/2017;20/02/2018;21/02/2018,-45.32013600299996,-9.766569003999962
438;PILDB ;SUB LAGOA DO BARRO I                               PI       ;LB1;LAGOA DO BARRO I ENERGIAS RENOVÁVEIS S.A.                      ;30/08/2018;31/08/2018;26/10/2018;27/10/2018,-41.605746001,-8.67366500199995
439;PINVO ;SUB NOVA OLINDA                                    PI       ;NO8;NOVA OLINDA NORTE SOLAR S.A.                                   ;14/02/2018;15/02/2018;08/12/2017;09/12/2017,-42.55687799999998,-8.194181002999983
440;PIPIC ;SUB PICOS                                          PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-41.421111107,-7.099694400999965
441;PIPNB ;SUB PARNAIBA III                                   PI       ;899;ARGO TRANSMISSÃO DE ENERGIA S.A.                               ;26/06/2019;27/06/2019;06/09/2019;07/09/2019,-41.76610000399995,-3.1250250039999514
442;PIPRI ;SUB PIRIPIRI                                       PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-41.75444440499996,-4.283861100999957
443;PIQMN ;SUB QUEIMADA NOVA II                               PI       ;STJ;TRANSMISSORA SERTANEJA DE ELETRICIDADE S.A.                    ;29/06/2020;30/06/2020;24/05/2021;25/05/2021,-41.424628004,-8.598881006999989
444;PIRGO ;SUB RIBEIRO GONCALVES                              PI       ;TAE;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;09/12/2006;10/12/2006;10/12/2006;11/12/2006,-45.50678180199998,-8.119825102999982
445;PISBA ;SUB SAO BASILIO                                    PI       ;RIT;Central Eólica Brite Ltda                                      ;31/03/2016;01/04/2016;04/07/2016;05/07/2016,-40.57987290599999,-7.3964778039999715
446;PISEW ;SUB SANTA EDWIGES                                  PI       ;RIT;Central Eólica Brite Ltda                                      ;31/03/2016;01/04/2016;04/07/2016;05/07/2016,-40.56898100699999,-7.379317000999947
447;PISJA ;SUB SAO JOAO DO ARRAIAL II                         PI       ;;;08/09/9999;09/09/9999;;,-42.43610600399995,-3.818450003999999
448;PISJI ;SUB SAO JOAO DO PIAUI                              PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-42.229166701,-8.354138903999967
449;PISVR ;SUB SANTA VERONICA                                 PI       ;NTS;CENTRAL GERADORA SOLAR NOTUS S/A                               ;31/05/2016;01/06/2016;18/07/2017;19/07/2017,-40.56642200099998,-7.34721700099999
450;PITSA ;SUB TERESINA                                       PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-42.82861110599998,-5.239972203999969
451;PITSD ;SUB TERESINA II                                    PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;01/06/2000;02/06/2000,-42.72666670399997,-5.264416701999949
452;PITST ;SUB TERESINA III                                   PI       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;29/11/2017;30/11/2017;17/10/2017;18/10/2017,-42.68890000099998,-5.087601006
453;PIVDP ;SUB CHAPADINHA I                                   PI       ;VSS;VENTOS DE SANTA ALBERTINA ENERGIAS RENOVÁVEIS S.A.             ;30/10/2017;31/10/2017;01/08/2017;02/08/2017,-40.63892500099996,-8.034175000999994
454;PRADA ;SUB ANDIRA                                         PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;01/06/2000;02/06/2000,-50.213611007,-23.058333002999973
455;PRADA2;SUB ANDIRA LESTE                                   PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;03/09/2019;04/09/2019;06/09/2019;07/09/2019,-50.208761006999964,-23.06960000199996
456;PRAPA ;SUB APUCARANA                                      PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;01/06/2000;02/06/2000,-51.45000000299996,-23.529722206999963
457;PRARE ;SUB AREIA                                          PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;;31/07/1997;01/08/1997,-51.602500007,-25.96861110699996
458;PRBER ;SUB BERNECK                                        PR       ;BNK;Berneck S. A. Painéis e Serrados                               ;31/12/2011;01/01/2012;27/08/2011;28/08/2011,-49.37111100599998,-25.54222200099997
459;PRBTA ;SUB BATEIAS                                        PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;21/11/1999;22/11/1999,-49.53000000099996,-25.41305560699999
460;PRCBA ;SUB CURITIBA                                       PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;;01/06/2000;02/06/2000,-49.316666699999985,-25.594722204999982
461;PRCBL ;SUB CURITIBA LESTE                                 PR       ;MRB;MARUMBI TRANSMISSORA DE ENERGIA S.A.                           ;29/06/2015;30/06/2015;27/06/2015;28/06/2015,-49.08253600399996,-25.570353999999952
462;PRCBN ;SUB CURITIBA NORTE                                 PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;28/07/2016;29/07/2016;21/05/2016;22/05/2016,-49.320936001999996,-25.235598005999975
463;PRCBS ;SUB CURITIBA SUL                                   PR       ;;;30/12/2020;31/12/2020;;,-49.24826000599995,-25.560858005
464;PRCCO ;SUB CAMPO COMPRIDO                                 PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;01/06/2000;02/06/2000,-49.368888906999985,-25.428888902999972
465;PRCEL ;SUB CASCAVEL                                       PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;16/10/1986;17/10/1986,-53.46000000099997,-24.999722206
466;PRCIC ;SUB C.I.CURITIBA                                   PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;30/01/2002;31/01/2002;07/11/2003;08/11/2003,-49.330861002000006,-25.52608300099996
467;PRCMO ;SUB CAMPO MOURAO                                   PR       ;GTE;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;;;01/06/2000;02/06/2000,-52.36638890199998,-24.075000004000003
468;PRCNT ;SUB CASTRO NORTE                                   PR       ;DGS;GRALHA AZUL TRANSMISSÃO DE ENERGIA S.A.                        ;08/03/2023;09/03/2023;14/05/2022;15/05/2022,-50.03431419999998,-24.757496707999962
469;PRCPNN;SUB CURITIBA CENTRO                                PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;03/09/2019;04/09/2019;16/09/2019;17/09/2019,-49.252556003999985,-25.43725300699998
470;PRCSO ;SUB CAMPO ASSOBIO                                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;31/01/1998;01/02/1998,-49.18166670199997,-25.66694440799995
471;PRCTE ;SUB CASCAVEL NORTE                                 PR       ;IUA;CAIUÁ TRANSMISSORA DE ENERGIA S.A.                             ;29/07/2014;30/07/2014;14/07/2014;15/07/2014,-53.445833005,-24.932222002000003
472;PRCVO ;SUB CASCAVEL OESTE                                 PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;31/12/2000;01/01/2001;21/04/2001;22/04/2001,-53.530833304,-25.02777780699995
473;PRDJP ;SUB DISTRITO SAO JOSE DOS PINHAIS                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;01/06/2000;02/06/2000,-49.126388899999995,-25.528888903999984
474;PRFLO ;SUB FLORESTOPOLIS                                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;30/04/1991;01/05/1991,-51.38722200699999,-22.85888900699996
475;PRFOC ;SUB FOZ DO CHOPIM                                  PR       ;COG;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;;;30/09/1998;01/10/1998,-53.095000005999964,-25.522777803999986
476;PRFON ;SUB FOZ IGUACU NORTE                               PR       ;AT7;EVOLTZ VII - FOZ DO IGUAÇU TRANSMISSORA DE ENERGIA S.A.        ;30/08/2009;31/08/2009;08/08/2009;09/08/2009,-54.545833304999974,-25.48638890799998
